金通商旅,non,大同區重慶北路一段1號10樓之1,"10F.-1, No. 1, Sec. 1, Chongqing N. Rd., Datong Dist.",02-25921919,9
承攜行旅台北重慶館,Guide Hotel Taipei Chongqing,大同區重慶北路一段62號1、4至10樓,"No.62, Sec. 1, Chongqing N. Rd., Datong Dist.",02-25580551,168
松河璞旅,Waterfront Hotel,松山區松河街112號1樓至8樓,"1-8F., No. 112, Songhe St., Songshan Dist.",02-25281567,42
路境行旅-府前館,Finders Hotel Fu-Qian,中正區重慶南路一段86號,"No.86, Sec. 1, Chongqing S. Rd., Zhongzheng Dist.",02-23899595,158
華弘怡亨酒店,"Hotel Eclat, Taipei",大安區敦化南路一段370號,"No.370, Sec. 1, Dunhua S. Rd., Da’an Dist.",02-27848888,68
兄弟大飯店,Brother Hotel,松山區南京東路3段255號,"No.255, Sec. 3, Nanjing E. Rd., Songshan Dist.",02-27123456,250
梅樓商務驛站,Main Inn Taipei,大同區鄭州路29巷1-1號2-4樓,"2F., No.1-1, Lane 29, Jhengjhou Rd., Datong District",02-25552587,18
台北商旅（大安館）,Les Suites Taipei (Da An),大安區大安路一段135號,"No.135, Taan Rd., Sec. 1",02-77119933,42
小王子甜蜜旅店,Honey Prince Hotel,萬華區漢中街42號9樓,"9F., No.42, Hanzhong St., Wanhua Dist.",02-23820225,9
麗之湯別館,Gorgeous Hot Spring Resort,北投區溫泉路銀光巷4-2號,"No.4-2, Yinguang Ln., Wenquan Rd., Beitou Dist.",02-28910033,40
士林町旅店,SHILIN DING 24H HOTEL,士林區安平街26號1至4樓,"No.26, Anping St., Shihlin District",02-28813133,10
路徒行旅-中華館,Roaders Hotel Zhonghua,中正區延平南路68號,"No.68, Yanping S. Rd., Zhongzheng Dist.",02-23120589,68
凱旋酒店,Just Palace,內湖區江南街55號3樓、9樓,"No.55, Jiangnan St., Neihu Dist.",02-87527888,88
藝宿商旅,YISU HOTEL,大同區重慶北路一段116號2樓至11樓及11樓夾層,"2F., No.116, Sec. 1, Chongqing N. Rd., Datong Dist.",02-25506655,69
幸福大旅社,HAPPINESS HOTEL,萬華區內江街55巷26號1-4樓,"1-4F., No.26, Ln. 55, Neijiang St., Wanhua Dist.",02-23716808,22
柯達大飯店台北松江,Khotels Taipei Songjiang,中山區松江路251號,"No.251, Songjiang Rd., Zhongshan Dist.",02-25159999,85
迪樂商旅,THE DEALER HOTEL,大同區延平北路一段121號1至6樓,"1-6F., No.121, Sec. 1, Yanping N. Rd., Datong Dist.",02-25551130,28
福容大飯店 台北一館,"Fullon Hotel Taipei,Central",大安區建國南路1段266號,"No.266, Sec. 1, Jianguo S. Rd., Da-an Dist.",02-27019266,120
悠趣旅店,URTRIP HOTEL,松山區長安東路2段219號12樓,"12F., No.219, Sec. 2, Chang’an E. Rd., Songshan Dist.",02-27752277,27
